distance_delta,packet_rate_delta,energy_delta,is_capture,is_flooder_attack,is_faker_attack,attack_success
2189,126,19,False,True,False,True
1077,173,16,False,True,True,True
4273,26,8,True,False,False,True
3121,49,16,True,False,True,True
716,146,10,False,True,True,True
1553,68,13,False,False,True,True
3708,196,12,True,True,True,True
540,99,4,False,False,False,False
3685,116,11,False,False,True,True
4531,23,1,True,False,False,True
3692,106,5,True,False,False,True
3966,140,15,False,True,True,True
2858,36,6,True,False,True,True
4757,65,17,True,False,True,True
1827,146,17,False,False,True,True
2612,99,0,False,False,False,False
3266,173,17,True,True,True,True
4199,90,5,True,True,False,True
852,107,9,False,False,True,True
2742,85,9,False,False,False,False
475,24,12,False,False,True,False
1224,178,12,False,True,True,True
316,95,8,False,False,False,False
3331,125,15,True,True,True,True
3144,43,5,True,False,False,True
147,109,17,False,True,True,False
3685,61,12,True,False,True,False
494,85,2,False,False,False,False
2153,120,6,False,True,False,True
756,31,12,False,False,True,True
4043,113,10,True,True,True,True
200,15,2,False,False,False,False
4137,81,15,True,True,True,True
3279,173,10,False,True,False,True
4260,141,3,True,False,False,True
3484,168,8,True,True,False,True
2371,167,9,False,True,True,True
4543,100,1,True,True,False,True
3725,90,3,True,True,False,True
2965,120,6,True,True,False,True
1707,109,3,False,True,False,False
2356,156,4,False,False,False,False
3964,7,2,True,False,False,True
662,127,12,False,True,True,True
2413,110,15,False,False,True,True
1731,85,1,False,False,False,False
3617,179,15,True,True,True,True
4808,43,0,True,False,False,False
2938,35,18,True,False,True,True
1439,71,2,False,False,False,False
2380,181,2,False,True,False,True
558,2,8,False,False,False,False
654,82,14,False,False,True,False
4730,1,19,True,False,True,True
4500,110,5,True,True,True,True
2093,17,8,False,False,True,False
3486,160,7,True,True,True,True
4064,55,10,True,True,False,True
872,118,14,False,True,True,True
3487,108,7,False,False,False,False
3840,124,10,True,False,False,True
2916,125,10,True,True,True,True
2933,117,15,False,True,True,True
1868,49,10,False,True,True,True
4951,143,6,True,False,False,True
3271,103,17,True,False,True,True
2509,131,8,False,True,False,True
4746,67,4,True,False,False,True
1988,10,15,False,False,True,True
4189,124,10,True,True,True,True
527,194,8,False,True,True,True
1870,183,3,False,True,True,True
460,60,4,False,False,True,True
1386,31,14,False,True,True,True
3126,68,2,True,False,False,True
2644,20,8,True,False,False,True
3261,129,15,False,False,False,False
4840,194,5,False,False,False,False
4590,164,4,True,True,False,True
1337,152,11,False,True,True,True
