distance_delta,packet_rate_delta,energy_delta,is_hijack,is_flooder_attack,is_faker_attack,attack_success
183,170,20,True,True,True,True
106,71,12,True,True,True,True
175,182,1,True,True,False,True
154,115,14,True,True,True,True
182,180,0,True,True,False,True
62,26,13,True,False,True,True
172,0,19,True,False,True,True
141,38,6,True,True,False,True
22,142,3,False,True,False,True
127,145,1,True,True,False,True
6,86,9,False,True,True,True
118,88,5,True,True,True,True
137,22,14,True,False,True,False
19,132,0,False,True,False,True
140,159,7,True,True,True,True
4,95,2,False,True,True,True
15,180,4,False,True,False,False
98,168,5,True,True,False,True
113,178,19,True,True,True,True
45,160,13,False,True,True,True
10,92,1,False,True,False,True
25,117,3,False,True,False,False
113,126,12,True,True,True,True
96,73,7,True,True,True,True
199,181,18,True,True,True,True
126,91,18,True,True,True,True
189,157,16,True,True,True,True
64,136,19,True,True,True,True
138,128,1,True,True,False,False
190,197,6,True,True,True,True
58,166,8,True,True,True,True
105,8,6,True,False,False,True
115,166,12,True,True,True,True
90,0,1,True,False,False,True
54,199,7,False,True,True,False
124,186,5,True,True,True,True
56,63,12,False,True,True,True
109,46,1,True,True,False,True
172,48,18,True,True,True,True
149,164,8,True,True,True,True
159,31,14,True,False,True,True
158,27,9,True,True,True,True
75,111,2,True,True,False,True
57,171,12,False,True,True,True
97,177,8,True,True,True,True
42,59,1,True,True,False,False
28,116,10,True,True,True,True
21,181,15,False,True,True,True
52,200,19,False,True,True,True
169,105,0,True,True,False,True
155,169,19,True,True,True,True
22,18,20,True,False,True,False
174,147,16,True,True,True,True
11,142,7,False,True,True,True
134,110,9,True,True,True,True
116,117,11,True,True,True,True
167,94,7,True,True,True,True
138,179,1,True,True,False,False
48,192,20,False,True,True,False
149,142,15,True,True,True,True
199,11,17,True,False,True,True
145,181,10,True,True,True,True
11,38,16,False,False,True,True
26,106,6,False,True,False,True
147,68,11,True,True,True,True
125,183,4,True,True,False,True
71,166,18,True,True,True,True
20,129,18,False,True,True,True
172,25,15,True,True,True,True
118,144,12,True,True,True,True
65,94,14,True,True,True,True
34,92,13,True,True,True,True
200,53,1,True,True,False,True
200,56,17,True,True,True,True
140,158,14,True,True,True,True
124,132,15,True,True,True,True
172,70,9,True,True,True,True
120,134,4,True,True,True,True
162,4,3,True,False,False,True
43,139,6,False,True,True,True
192,195,4,True,True,False,False
124,11,2,True,True,False,True
97,162,14,True,True,True,True
36,95,13,False,True,True,False
52,75,9,True,True,True,True
74,190,17,True,True,True,True
169,189,4,True,True,False,True
197,149,0,True,True,False,False
32,176,3,False,True,False,True
33,64,16,False,True,True,False
78,179,5,True,True,True,True
87,130,4,True,True,False,True
183,33,16,True,False,True,True
139,112,2,True,True,False,True
15,41,14,False,False,True,False
69,156,10,True,True,True,True
94,193,13,True,True,True,True
162,144,20,True,True,True,True
17,168,17,False,True,True,True
164,129,20,True,True,True,True
108,198,13,True,True,True,True
83,90,17,True,True,True,True
85,35,13,True,False,True,True
180,20,5,True,False,False,True
155,154,5,True,True,False,False
116,87,6,True,True,False,True
3,81,7,False,True,True,True
23,120,9,False,True,True,False
193,12,4,True,False,True,True
180,113,16,True,True,True,True
176,101,13,True,True,True,True
44,125,0,True,True,False,False
166,98,5,True,True,False,False
175,88,5,True,True,False,True
29,9,11,False,False,True,True
141,51,11,True,True,True,True
174,60,18,True,True,True,True
33,156,13,False,True,True,True
72,70,4,True,True,False,True
145,102,8,True,True,True,True
188,39,7,True,False,True,True
176,85,14,True,True,True,True
24,156,0,False,True,False,True
176,86,5,True,True,False,False
47,24,17,False,True,True,True
129,57,8,True,True,True,True
90,30,6,True,False,True,True
171,70,0,True,True,False,True
129,138,9,True,True,True,True
