packetRate,energy,distance,packetRateDelta,energyDelta,distanceDelta,flooderProb,fakerProb,captureProb,riskScore
384.7357453,25.00730025,1410.29688,188.8166576,5.1976737,0,0.99,0.578125,0.01,0.690808602
189.2762956,28.1342265,2470.278235,0,8.303059759,931.9149327,0.01,0.915254237,0.416666667,0.536942039
201.625538,31.14383643,1635.981379,5.226731365,11.24991233,103.7363105,0.01,0.99,0.111111111,0.391088759
398.7929393,20.66512382,2512.068714,203.2123902,0.884049992,973.6528511,0.99,0.289473684,0.5,0.745395185
234.6243148,22.52288946,1195.988689,37.79961953,2.73124716,0,0.459459459,0.271186441,0.01,0.347326541
460.8394516,6.539397341,2323.477466,264.440645,0,791.2323979,0.99,0.01,0.2,0.617222177
312.9369354,38.33004533,2913.058111,115.5614752,18.41242888,1395.464152,0.99,0.99,0.99,0.984633546
256.5038741,18.30980047,1885.746992,59.03185194,0,356.6810183,0.857142857,0.01,0.066666667,0.516445468
431.7352701,12.22417926,2837.009045,234.3598098,0,1319.415086,0.99,0.01,0.99,0.811897432
201.0094092,10.56083946,1838.15409,2.373939257,0,292.2547774,0.01,0.01,0.0625,0.079330443
464.5624608,3.93566102,2082.858354,269.728582,0,570.1543004,0.99,0.01,0.066666667,0.584365594
180.5362154,8.965120726,2290.206507,0,0,764.1419719,0.01,0.01,0.153846154,0.167744807
193.9041707,46.22504383,662.9211021,0,26.29019141,0,0.01,0.99,0.01,0.3396876
434.9459044,25.71009111,100,238.755672,5.807468254,100,0.99,0.578125,0.99,0.912035906
307.3016518,27.7589029,1952.762577,111.3825641,7.949276348,423.448809,0.99,0.777777778,0.111111111,0.755212676
192.4232636,22.77367764,2204.040308,0,2.811268198,687.8119205,0.01,0.271186441,0.133333333,0.215717637
211.2886507,11.92727385,1873.253011,13.38589176,0,351.7387687,0.15,0.01,0.066666667,0.154935124
217.3558013,9.703455475,1360.212137,19.79835293,0,0,0.2,0.01,0.01,0.133574999
302.2814197,23.18351332,1807.945834,104.9059594,3.265896859,290.3518746,0.99,0.366666667,0.0625,0.658248236
202.582758,39.80015943,1868.850465,4.496136316,20.0142424,368.6427003,0.01,0.99,0.0625,0.366376663
425.9282773,37.96212476,2550.426651,231.1936276,17.99971531,1034.198263,0.99,0.99,0.642857143,0.911473848
499.4694617,10.123379,2676.143548,301.9974395,0,1147.077574,0.99,0.01,0.933333333,0.797933384
207.1597733,10.91217862,2315.80838,8.370058748,0,771.7443756,0.01,0.01,0.166666667,0.180153841
399.0106761,25.69928103,1212.405363,201.4559252,5.973531615,0,0.99,0.578125,0.01,0.690808602
,,,,,,,,,
,,,,,,,,,
